,player_name,team_name,against,date,gw,tenGameAverage,points,rebounds,assists,blocks,steals,turnovers,fieldGoalAttempts,freeThrowAttempts,made3PointFGs,doubleDoubles,tripleDoubles,score
31453,javonte-green-19930723,Chicago Bulls,Miami Heat,2023-04-14T23:00:00Z,49,10,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31171,demar-derozan-19890807,Chicago Bulls,Miami Heat,2023-04-14T23:00:00Z,49,37,26,4.8,13.5,0,3,-4,0,0,0,0,0,43.3
31290,andre-drummond-19930810,Chicago Bulls,Miami Heat,2023-04-14T23:00:00Z,49,16,6,9.6,0.0,3,0,0,0,0,0,0,0,18.6
31448,omer-yurtseven-19980619,Miami Heat,Chicago Bulls,2023-04-14T23:00:00Z,49,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31439,derrick-jones-jr-19970215,Chicago Bulls,Miami Heat,2023-04-14T23:00:00Z,49,11,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31303,caleb-martin-19950928,Miami Heat,Chicago Bulls,2023-04-14T23:00:00Z,49,19,6,6.0,0.0,0,0,-2,0,0,1,0,0,11.0
31157,zach-lavine-19950310,Chicago Bulls,Miami Heat,2023-04-14T23:00:00Z,49,37,15,4.8,3.0,0,3,-10,0,0,0,0,0,15.8
31258,gabe-vincent-19960614,Miami Heat,Chicago Bulls,2023-04-14T23:00:00Z,49,19,0,2.4,3.0,0,0,-4,0,0,0,0,0,1.4000000000000004
31489,dalen-terry-20020712,Chicago Bulls,Miami Heat,2023-04-14T23:00:00Z,49,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31508,udonis-haslem-19800609,Miami Heat,Chicago Bulls,2023-04-14T23:00:00Z,49,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31317,patrick-beverley-19880712,Chicago Bulls,Miami Heat,2023-04-14T23:00:00Z,49,19,0,2.4,6.0,0,0,0,0,0,0,0,0,8.4
31161,max-strus-19960328,Miami Heat,Chicago Bulls,2023-04-14T23:00:00Z,49,20,31,7.199999999999999,0.0,0,3,-2,0,0,7,0,0,46.2
31429,carlik-jones-19971223,Chicago Bulls,Miami Heat,2023-04-14T23:00:00Z,49,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31252,patrick-williams-20010826,Chicago Bulls,Miami Heat,2023-04-14T23:00:00Z,49,20,2,2.4,0.0,0,3,-2,0,0,0,0,0,5.4
31378,naji-marshall-19980124,New Orleans Pelicans,Oklahoma City Thunder,2023-04-13T01:30:00Z,49,14,2,1.2,0.0,0,0,0,0,0,0,0,0,3.2
31177,jonas-valanciunas-19920506,New Orleans Pelicans,Oklahoma City Thunder,2023-04-13T01:30:00Z,49,35,16,21.599999999999998,4.5,0,0,-2,0,0,1,1,0,42.099999999999994
31143,shai-gilgeous-alexander-19980712,Oklahoma City Thunder,New Orleans Pelicans,2023-04-13T01:30:00Z,49,46,32,6.0,4.5,3,9,-4,0,0,2,0,0,52.5
31444,willy-hernangomez-19940527,New Orleans Pelicans,Oklahoma City Thunder,2023-04-13T01:30:00Z,49,13,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31215,herbert-jones-19981006,New Orleans Pelicans,Oklahoma City Thunder,2023-04-13T01:30:00Z,49,23,20,6.0,7.5,3,3,-6,0,0,1,0,0,34.5
31362,jeremiah-robinson-earl-20001103,Oklahoma City Thunder,New Orleans Pelicans,2023-04-13T01:30:00Z,49,9,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31184,luguentz-dort-19990419,Oklahoma City Thunder,New Orleans Pelicans,2023-04-13T01:30:00Z,49,25,27,6.0,1.5,3,0,0,0,0,4,0,0,41.5
31426,garrett-temple-19860508,New Orleans Pelicans,Oklahoma City Thunder,2023-04-13T01:30:00Z,49,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31170,brandon-ingram-19970902,New Orleans Pelicans,Oklahoma City Thunder,2023-04-13T01:30:00Z,49,48,30,7.199999999999999,10.5,3,0,-8,0,0,1,0,0,43.7
31399,kira-lewis-jr-20010406,New Orleans Pelicans,Oklahoma City Thunder,2023-04-13T01:30:00Z,49,7,0,1.2,0.0,0,0,0,0,0,0,0,0,1.2
31275,josh-richardson-19930915,New Orleans Pelicans,Oklahoma City Thunder,2023-04-13T01:30:00Z,49,12,9,2.4,6.0,3,3,-2,0,0,1,0,0,22.4
31219,jalen-williams-20010414,Oklahoma City Thunder,New Orleans Pelicans,2023-04-13T01:30:00Z,49,31,11,4.8,3.0,3,6,-2,0,0,0,0,0,25.8
31350,ousmane-dieng-20030521,Oklahoma City Thunder,New Orleans Pelicans,2023-04-13T01:30:00Z,49,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31332,lindy-waters-iii-19970728,Oklahoma City Thunder,New Orleans Pelicans,2023-04-13T01:30:00Z,49,12,0,1.2,0.0,0,0,0,0,0,0,0,0,1.2
31131,josh-giddey-20021010,Oklahoma City Thunder,New Orleans Pelicans,2023-04-13T01:30:00Z,49,40,31,10.799999999999999,15.0,3,0,-4,0,0,3,1,0,59.8
31325,aaron-wiggins-19990102,Oklahoma City Thunder,New Orleans Pelicans,2023-04-13T01:30:00Z,49,16,7,1.2,0.0,0,3,0,0,0,0,0,0,11.2
31337,dario-saric-19940408,Oklahoma City Thunder,New Orleans Pelicans,2023-04-13T01:30:00Z,49,12,4,3.5999999999999996,0.0,3,0,-2,0,0,0,0,0,8.6
31296,jaxson-hayes-20000523,New Orleans Pelicans,Oklahoma City Thunder,2023-04-13T01:30:00Z,49,8,6,10.799999999999999,3.0,0,0,-2,0,0,0,0,0,17.799999999999997
31491,dyson-daniels-20030317,New Orleans Pelicans,Oklahoma City Thunder,2023-04-13T01:30:00Z,49,11,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31511,tre-mann-20010203,Oklahoma City Thunder,New Orleans Pelicans,2023-04-13T01:30:00Z,49,10,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31329,isaiah-joe-19990702,Oklahoma City Thunder,New Orleans Pelicans,2023-04-13T01:30:00Z,49,21,3,2.4,1.5,0,0,-2,0,0,1,0,0,5.9
31226,jaylin-williams-20020629,Oklahoma City Thunder,New Orleans Pelicans,2023-04-13T01:30:00Z,49,18,8,9.6,12.0,0,3,0,0,0,1,0,0,33.6
31224,trey-murphy-iii-20000618,New Orleans Pelicans,Oklahoma City Thunder,2023-04-13T01:30:00Z,49,35,21,4.8,3.0,0,3,-2,0,0,4,0,0,33.8
31237,cj-mccollum-19910919,New Orleans Pelicans,Oklahoma City Thunder,2023-04-13T01:30:00Z,49,37,14,2.4,6.0,3,6,0,0,0,1,0,0,32.4
31249,og-anunoby-19970717,Toronto Raptors,Chicago Bulls,2023-04-12T23:00:00Z,49,35,13,4.8,4.5,3,3,-2,0,0,2,0,0,28.3
31454,javonte-green-19930723,Chicago Bulls,Toronto Raptors,2023-04-12T23:00:00Z,49,10,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31187,scottie-barnes-20010801,Toronto Raptors,Chicago Bulls,2023-04-12T23:00:00Z,49,32,19,12.0,3.0,3,6,-4,0,0,1,1,0,41.0
31158,zach-lavine-19950310,Chicago Bulls,Toronto Raptors,2023-04-12T23:00:00Z,49,37,39,7.199999999999999,4.5,0,3,-8,0,0,2,0,0,47.7
31459,joe-wieskamp-19990823,Toronto Raptors,Chicago Bulls,2023-04-12T23:00:00Z,49,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31129,fred-vanvleet-19940225,Toronto Raptors,Chicago Bulls,2023-04-12T23:00:00Z,49,42,26,14.399999999999999,12.0,3,3,-6,0,0,7,1,0,60.4
31253,patrick-williams-20010826,Chicago Bulls,Toronto Raptors,2023-04-12T23:00:00Z,49,20,10,2.4,3.0,6,6,-2,0,0,2,0,0,27.4
31430,carlik-jones-19971223,Chicago Bulls,Toronto Raptors,2023-04-12T23:00:00Z,49,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31318,patrick-beverley-19880712,Chicago Bulls,Toronto Raptors,2023-04-12T23:00:00Z,49,19,3,3.5999999999999996,1.5,3,3,-2,0,0,1,0,0,13.1
31300,jakob-poeltl-19951015,Toronto Raptors,Chicago Bulls,2023-04-12T23:00:00Z,49,29,7,9.6,4.5,6,0,-10,0,0,0,0,0,17.1
31440,derrick-jones-jr-19970215,Chicago Bulls,Toronto Raptors,2023-04-12T23:00:00Z,49,11,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31291,andre-drummond-19930810,Chicago Bulls,Toronto Raptors,2023-04-12T23:00:00Z,49,16,2,1.2,0.0,3,0,0,0,0,0,0,0,6.2
31172,demar-derozan-19890807,Chicago Bulls,Toronto Raptors,2023-04-12T23:00:00Z,49,37,23,8.4,4.5,6,0,-2,0,0,0,0,0,39.9
31512,dalano-banton-19991107,Toronto Raptors,Chicago Bulls,2023-04-12T23:00:00Z,49,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31419,will-barton-19910106,Toronto Raptors,Chicago Bulls,2023-04-12T23:00:00Z,49,12,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31490,dalen-terry-20020712,Chicago Bulls,Toronto Raptors,2023-04-12T23:00:00Z,49,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31466,marko-simonovic-19991015,Chicago Bulls,Toronto Raptors,2023-04-12T23:00:00Z,49,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31239,coby-white-20000216,Chicago Bulls,Toronto Raptors,2023-04-12T23:00:00Z,49,27,9,0.0,7.5,0,3,-2,0,0,1,0,0,18.5
31352,gary-trent-jr-19990118,Toronto Raptors,Chicago Bulls,2023-04-12T23:00:00Z,49,23,2,2.4,1.5,0,0,0,0,0,0,0,0,5.9
31211,alex-caruso-19940228,Chicago Bulls,Toronto Raptors,2023-04-12T23:00:00Z,49,17,9,3.5999999999999996,3.0,9,9,-2,0,0,1,0,0,32.6
31478,malachi-flynn-19980510,Toronto Raptors,Chicago Bulls,2023-04-12T23:00:00Z,49,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31192,nikola-vucevic-19901024,Chicago Bulls,Toronto Raptors,2023-04-12T23:00:00Z,49,34,14,15.6,6.0,3,3,-2,0,0,0,1,0,40.6
31151,pascal-siakam-19940402,Toronto Raptors,Chicago Bulls,2023-04-12T23:00:00Z,49,47,32,10.799999999999999,9.0,0,3,-6,0,0,1,0,0,49.8
31414,christian-koloko-20000620,Toronto Raptors,Chicago Bulls,2023-04-12T23:00:00Z,49,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31393,chris-boucher-19930111,Toronto Raptors,Chicago Bulls,2023-04-12T23:00:00Z,49,20,0,1.2,0.0,0,0,0,0,0,0,0,0,1.2
31396,ayo-dosunmu-20000117,Chicago Bulls,Toronto Raptors,2023-04-12T23:00:00Z,49,14,0,1.2,0.0,0,0,0,0,0,0,0,0,1.2
31330,precious-achiuwa-19990919,Toronto Raptors,Chicago Bulls,2023-04-12T23:00:00Z,49,14,6,4.8,0.0,0,0,0,0,0,0,0,0,10.8
31464,thaddeus-young-19880621,Toronto Raptors,Chicago Bulls,2023-04-12T23:00:00Z,49,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31506,wendell-moore-jr-20010918,Minnesota Timberwolves,Los Angeles Lakers,2023-04-12T02:00:00Z,49,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31134,kyle-anderson-19930920,Minnesota Timberwolves,Los Angeles Lakers,2023-04-12T02:00:00Z,49,34,12,6.0,19.5,12,12,-8,0,0,2,1,0,56.5
31469,wenyen-gabriel-19970326,Los Angeles Lakers,Minnesota Timberwolves,2023-04-12T02:00:00Z,49,14,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31124,anthony-davis-19930311,Los Angeles Lakers,Minnesota Timberwolves,2023-04-12T02:00:00Z,49,51,24,18.0,6.0,9,6,-10,0,0,0,1,0,54.0
31500,shaquille-harrison-19931006,Los Angeles Lakers,Minnesota Timberwolves,2023-04-12T02:00:00Z,49,19,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31463,tristan-thompson-19910313,Los Angeles Lakers,Minnesota Timberwolves,2023-04-12T02:00:00Z,49,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31137,karl-anthony-towns-19951115,Minnesota Timberwolves,Los Angeles Lakers,2023-04-12T02:00:00Z,49,32,24,13.2,7.5,9,0,-4,0,0,2,1,0,52.7
